Date,Volume,Open,High,Low,Close,Adj Close
08-09-21,15486000,145.39,145.55,144.20,144.88,144.88
09-09-21,14798000,144.88,145.67,144.43,144.91,144.91
10-09-21,32896000,145.44,146.02,141.74,141.92,141.92
13-09-21,20176000,143.20,144.19,142.28,143.46,143.46
14-09-21,18916000,144.16,144.73,142.91,143.41,143.41
15-09-21,20648000,143.76,145.58,142.26,145.21,145.21
16-09-21,20292000,145.12,145.20,143.42,144.37,144.37
17-09-21,60040000,143.80,144.25,141.06,141.46,141.46
20-09-21,34918000,139.00,139.36,137.05,139.02,139.02
21-09-21,18130000,140.12,140.81,138.91,139.65,139.65
22-09-21,22068000,140.05,141.58,139.47,140.94,140.94
23-09-21,17272000,141.61,142.25,141.10,141.83,141.83
24-09-21,14950000,140.95,142.90,140.85,142.63,142.63
27-09-21,18844000,141.59,142.50,140.50,141.50,141.50
28-09-21,42190000,139.09,139.61,135.70,136.18,136.18
29-09-21,26338000,137.11,137.40,134.25,134.52,134.52
30-09-21,35294000,134.32,135.59,133.00,133.27,133.27
01-10-21,28388000,133.55,137.07,133.38,136.46,136.46
04-10-21,31530000,135.70,135.70,131.17,133.76,133.76
05-10-21,24126000,134.00,137.36,134.00,136.18,136.18
06-10-21,19764000,134.63,137.85,134.49,137.35,137.35
07-10-21,18250000,138.86,140.15,138.56,139.19,139.19
08-10-21,18924000,139.91,140.32,139.43,140.06,140.06
11-10-21,16584000,139.80,140.76,138.81,138.85,138.85
12-10-21,22536000,139.64,139.70,136.25,136.71,136.71
13-10-21,16380000,137.75,138.55,136.98,137.90,137.90
14-10-21,21426000,139.95,141.65,139.34,141.41,141.41
15-10-21,21250000,142.20,142.20,141.06,141.68,141.68
18-10-21,16564000,141.21,143.00,141.21,142.96,142.96
19-10-21,15316000,143.29,144.11,143.10,143.82,143.82
20-10-21,17940000,144.22,144.25,141.91,142.41,142.41
21-10-21,14850000,142.19,142.85,141.64,142.78,142.78
22-10-21,30182000,140.35,141.56,137.17,138.63,138.63
25-10-21,21082000,138.81,139.21,136.75,138.77,138.77
26-10-21,28258000,140.61,140.84,139.01,139.67,139.67
27-10-21,51850000,139.90,149.12,139.90,146.43,146.43
28-10-21,32418000,147.30,147.42,144.76,146.13,146.13
29-10-21,28954000,145.52,148.61,145.17,148.27,148.27
01-11-21,32272000,148.16,148.40,143.58,143.77,143.77
02-11-21,21150000,144.81,146.92,144.64,145.86,145.86
03-11-21,17886000,146.27,146.91,145.05,146.79,146.79
04-11-21,24700000,147.20,149.95,146.63,148.68,148.68
05-11-21,20408000,149.35,150.57,148.65,149.24,149.24
08-11-21,18388000,150.00,151.03,149.12,149.35,149.35
09-11-21,16876000,149.75,150.38,147.51,149.25,149.25
10-11-21,22708000,148.01,148.70,145.32,146.63,146.63
11-11-21,12464000,147.11,148.50,146.69,146.75,146.75
12-11-21,17048000,147.83,149.86,146.45,149.65,149.65
15-11-21,16248000,150.00,150.48,148.65,149.39,149.39
16-11-21,17254000,149.17,149.83,148.35,149.08,149.08
17-11-21,15290000,149.23,149.63,148.56,149.06,149.06
18-11-21,26658000,149.15,151.61,149.00,150.71,150.71
19-11-21,19766000,151.00,151.85,149.89,149.95,149.95
22-11-21,24608000,150.14,150.74,147.01,147.08,147.08
23-11-21,18126000,147.11,147.69,144.89,146.76,146.76
24-11-21,16464000,146.35,147.00,145.20,146.72,146.72
26-11-21,16992000,145.02,145.30,142.49,142.81,142.81
29-11-21,26276000,144.30,146.86,144.30,146.11,146.11
30-11-21,41590000,145.45,146.63,142.07,142.45,142.45
01-12-21,28476000,144.21,146.50,141.50,141.62,141.62
02-12-21,21250000,141.82,144.68,140.98,143.78,143.78
03-12-21,26688000,144.50,145.21,141.15,142.52,142.52
06-12-21,22198000,143.57,144.35,140.65,143.80,143.80
07-12-21,23258000,145.95,148.30,145.70,148.04,148.04
